N°	Nota	Frequência (Hz)	Peroído (s)	Comprimento de Onda (m)
0	C  0	16,351597	0,061156	21,037701
1	C# 0	17,323914	0,057724	19,856941
2	D  0	18,354046	0,054484	18,742460
3	D# 0	19,445435	0,051426	17,690527
4	E  0	20,601725	0,048540	16,697632
5	F  0	21,826761	0,045815	15,760468
6	F# 0	23,124651	0,043244	14,875899
7	G  0	24,499718	0,040817	14,040977
8	G# 0	25,956537	0,038526	13,252921
9	A  0	27,500000	0,036364	12,509090
10	A# 0	29,135233	0,034323	11,807011
11	B  0	30,867708	0,032396	11,144332

N°	Nota	Frequência (Hz)	Peroído (s)	Comprimento de Onda (m)
12	C  1	32,703194	0,030578	10,518849
13	C# 1	34,647823	0,028862	9,928473
14	D  1	36,708096	0,027242	9,371228
15	D# 1	38,890873	0,025713	8,845263
16	E  1	41,203442	0,024270	8,348817
17	F  1	43,653526	0,022908	7,880233
18	F# 1	46,249302	0,021622	7,437950
19	G  1	48,999424	0,020408	7,020491
20	G# 1	51,913090	0,019263	6,626460
21	A  1	55,000000	0,018182	6,254546
22	A# 1	58,270466	0,017161	5,903505
23	B  1	61,735416	0,016198	5,572166

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
24	C  2	65,406380	0,015289	5,259425
25	C# 2	69,295647	0,014431	4,964236
26	D  2	73,416199	0,013621	4,685615
27	D# 2	77,781746	0,012856	4,422632
28	E  2	82,406876	0,012135	4,174408
29	F  2	87,307053	0,011454	3,940117
30	F# 2	92,498604	0,010811	3,718975
31	G  2	97,998848	0,010204	3,510245
32	G# 2	103,826180	0,009631	3,313230
33	A  2	110,000000	0,009091	3,127273
34	A# 2	116,540947	0,008581	2,951752
35	B  2	123,470818	0,008099	2,786083

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
36	C  3	130,812775	0,007645	2,629713
37	C# 3	138,591324	0,007215	2,482118
38	D  3	146,832367	0,006810	2,342808
39	D# 3	155,563492	0,006428	2,211316
40	E  3	164,813782	0,006067	2,087204
41	F  3	174,614105	0,005727	1,970058
42	F# 3	184,997208	0,005405	1,859488
43	G  3	195,997711	0,005102	1,755122
44	G# 3	207,652344	0,004816	1,656615
45	A  3	220,000000	0,004545	1,563636
46	A# 3	233,081848	0,004290	1,475876
47	B  3	246,941635	0,004050	1,393042

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
48	C  4	261,625519	0,003822	1,314856
49	C# 4	277,182648	0,003608	1,241059
50	D  4	293,664734	0,003405	1,171404
51	D# 4	311,126984	0,003214	1,105658
52	E  4	329,627533	0,003034	1,043602
53	F  4	349,228241	0,002863	0,985029
54	F# 4	369,994385	0,002703	0,929744
55	G  4	391,995392	0,002551	0,877561
56	G# 4	415,304688	0,002408	0,828308
57	A  4	440,000000	0,002273	0,781818
58	A# 4	466,163788	0,002145	0,737938
59	B  4	493,883301	0,002025	0,696521

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
60	C  5	523,251099	0,001911	0,657428
61	C# 5	554,365234	0,001804	0,620529
62	D  5	587,329529	0,001703	0,585702
63	D# 5	622,253906	0,001607	0,552829
64	E  5	659,255127	0,001517	0,521801
